snapshot_day,qd_gv,other_gv,qd_units,other_units,qd_orders,other_orders,qd_muo,other_muo,adopted_qd_orders
1/12/2020,521829,2526239,73025,244882,50017,186037,8967,22636,5825
1/30/2020,961066,3403793,322663,840245,167387,467123,46055,109890,26189
3/2/2020,1177021,4132113,391749,969610,204040,535610,57013,125861,33100
1/29/2020,1009098,3587745,336253,880891,177275,492073,48977,115385,27935
1/28/2020,1022696,3661469,337668,903897,178213,501351,48672,118065,28061
1/6/2020,1042015,3845553,341570,879547,181983,489098,50252,111646,29322
2/21/2020,932787,3338027,303141,704209,155242,392940,42332,91067,23941
3/11/2020,1163447,4168994,406111,957354,197278,494399,57216,130442,32627
4/1/2020,1101437,5676772,143103,444168,78927,261475,18139,51874,10793
2/22/2020,510992,2303354,75345,225338,49524,163827,9496,23074,5917
3/24/2020,799634,3547296,180541,500858,91823,278887,23253,59362,13635
3/9/2020,1148501,4002599,389362,902006,193956,484209,55184,117743,31389
2/28/2020,952388,3409260,320183,756884,163165,415784,46153,100329,26565
1/17/2020,837143,3176926,270627,702200,142869,394013,39061,90914,22112
2/10/2020,1084297,4139756,338325,882363,179267,502206,47700,113149,27489
3/23/2020,805118,3515944,185093,538043,94920,290360,24336,64443,14697
3/21/2020,541344,2583873,84554,256663,54762,178716,10771,28941,7438
1/18/2020,461696,2190158,67762,218554,43936,163039,8176,21480,5215
2/14/2020,785850,3010002,247329,643288,127753,355549,35361,84384,20251
3/16/2020,921888,3702109,289496,792809,140423,387171,40182,105224,24019
3/20/2020,729256,3316921,190018,544438,93940,281825,25245,65500,15550
3/26/2020,788761,3384094,169895,477026,89404,269288,22024,55873,12577
3/28/2020,607453,2711355,75594,238746,52913,178893,9006,23121,5835
3/12/2020,1084128,4021058,390089,988095,184072,475185,54761,135960,32436
2/4/2020,1003777,3556406,346731,904434,183523,504839,49795,119137,28679
1/24/2020,829064,3023506,276686,736245,145164,411757,40152,95709,22706
1/19/2020,494590,2338466,68006,228568,46081,174216,8013,21606,5173
2/9/2020,541835,2591378,73741,263158,51085,190689,8757,24254,5674
2/18/2020,1094706,4026488,338529,851931,177832,478998,47941,111591,27680
1/22/2020,1060070,3844382,332349,878689,176086,496872,48246,114687,27681
3/5/2020,1167270,4005046,394717,904329,196626,487846,56537,117934,32294
2/15/2020,474548,2236977,66250,216659,44043,159133,8180,22301,5275
3/14/2020,589367,2545997,114312,298420,68313,193917,15278,35931,10386
2/2/2020,430332,1988351,69911,244449,44962,172381,7933,27081,5035
2/7/2020,864879,3301289,276622,733382,144611,406287,39521,93928,22638
3/30/2020,887909,3888385,170511,492034,92773,288395,21760,56942,12768
3/18/2020,897119,3715859,255826,678084,119411,338298,33786,85221,20008
2/1/2020,440435,2018088,76630,234802,47818,169215,9394,24541,5880
1/13/2020,1057043,3877101,338643,888141,177533,500020,48103,116838,27894
4/4/2020,911610,5262852,6304,24073,4868,18388,713,2260,468
3/25/2020,811269,3539063,175490,503243,92871,277656,23259,58483,13575
1/1/2020,475543,2279640,63401,211665,43482,162629,7651,20937,5099
2/8/2020,487044,2337751,70926,230677,46077,169562,8677,23588,5518
2/5/2020,979843,3468789,339303,867480,179754,489042,48726,112202,28163
3/17/2020,952718,3817022,286322,721217,132497,360483,38051,92019,22217
2/6/2020,975222,3397576,323019,843208,170872,469459,46009,109223,26362
1/14/2020,1064849,3936908,342640,895017,180869,498822,49709,115773,28422
2/26/2020,1207650,4155080,386897,898991,200599,501954,56136,118948,31884
1/20/2020,861915,3407561,217170,578329,121939,354588,30694,72638,18010
1/26/2020,478324,2235197,71336,246418,48203,185615,8655,24531,5569
3/3/2020,1197801,4174707,410342,952590,209107,524046,58798,125741,33289
1/8/2020,1073693,3859096,349468,892292,185956,499206,50983,115985,29053
1/31/2020,806836,2924732,274683,721225,144549,402900,39530,93616,22807
3/19/2020,853156,3639917,233437,629381,110293,316224,30671,77908,18278
1/5/2020,521118,2499974,71906,239775,49340,184455,8765,23012,5790
1/11/2020,489652,2365855,70014,225456,46614,168794,8967,22767,5733
2/13/2020,1014867,3732108,312176,798280,161422,442170,44130,102947,25348
2/3/2020,931822,3373771,319056,838465,170753,473360,45685,109551,26542
3/6/2020,979870,3514514,336156,815013,168024,433483,48101,103372,27357
1/21/2020,1050624,3833245,328716,880611,174459,493529,47984,114547,27290
3/31/2020,1166579,5775127,168376,486623,89507,282782,20943,55447,12410
2/20/2020,1119763,3878743,343983,807288,179568,452093,49270,104798,27627
3/22/2020,574277,2737863,82045,263190,55335,179987,10412,27140,7254
2/12/2020,1103814,4053424,334333,862308,177827,487130,47788,112469,27434
2/24/2020,1166797,4009913,373066,866323,192952,485054,53111,112918,30192
2/16/2020,515729,2436654,70771,230871,47186,172506,8226,22859,5306
3/27/2020,807532,3425225,151480,456333,81412,261447,19809,52909,11532
2/11/2020,1119480,4185337,349959,895578,183113,505477,49623,115266,28871
3/7/2020,535274,2331491,91403,249179,57324,177863,11979,27810,7809
2/25/2020,1185029,4086718,385486,893159,199641,500893,55757,117217,31454
1/23/2020,973586,3462404,312908,843058,166561,468662,46179,111353,26370
4/2/2020,1122628,5828552,101505,326848,59011,198985,12758,37532,7588
2/23/2020,568089,2527016,81666,242503,55307,181938,10271,24691,6268
1/3/2020,828369,3233332,257424,691974,140684,398528,37584,87131,22071
3/8/2020,563208,2451800,93691,257090,58479,185538,11488,27959,7459
1/2/2020,922329,3532726,279087,682711,150756,399691,39842,86972,23513
1/25/2020,441852,2060451,67289,223843,44740,166492,8332,22886,5138
3/4/2020,1205879,4144127,402312,926645,206385,508177,58049,121906,33077
2/29/2020,535090,2362040,88576,257308,56454,181571,11480,30027,7425
2/17/2020,931352,3666202,235998,620265,132042,371911,33593,78044,19757
2/27/2020,1148805,3978731,372041,857966,190384,473593,53777,112998,30685
3/1/2020,601939,2647673,96527,282149,62083,202219,11780,29993,7763
1/7/2020,1061537,3881631,352134,906037,187056,500392,51103,116008,29391
2/19/2020,1127169,4097591,342469,860855,181348,482319,49492,113226,28646
3/10/2020,1160777,4062966,392569,921251,197777,489164,56255,122159,31826
3/15/2020,612775,2638908,110872,301492,69228,199620,14628,34888,10085
3/29/2020,639634,2896877,77933,245386,56010,186150,9304,23347,6045
1/16/2020,1014503,3696804,323125,840556,167549,463560,46430,106766,26001
1/15/2020,1015836,3729878,336747,867699,176997,492058,48281,112591,27214
1/4/2020,504563,2426487,72337,237465,48860,178832,9137,23651,5952
1/10/2020,895709,3363978,304039,764278,157222,423695,43541,99215,24788
4/3/2020,1045407,5676879,51171,175567,30769,104574,6345,19110,3767
1/9/2020,1044476,3787146,333364,845844,177313,473498,49246,110001,28197
3/13/2020,910748,3525017,334602,810329,151662,385982,44828,105282,26408
1/27/2020,988045,3576632,330811,911468,173978,502676,47794,123895,27239
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
